OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,COMPLEX_INCNUM,IRWINID,FIRE_NUM,DECADES,SHAPE_Length,SHAPE_Area
21462,2020,CA,CDF,CZU,CZU LIGHTNING COMPLEX,00005205,2020/08/16 00:00:00+00,2020/09/24 00:00:00+00,1,7,1,86553.461,,CZU LIGHTNING COMPLEX,00005205,,,2020,255052.193259759,552318495.777981
21480,2020,CA,CDF,ORC,SILVERADO,20121364,2020/10/26 00:00:00+00,2020/11/02 00:00:00+00,14,7,1,12469.206, ,,,,,2020,65362.5935745091,73125983.4583518
21481,2020,CA,CDF,ORC,BLUE RIDGE,20121612,2020/10/26 00:00:00+00,2020/11/02 00:00:00+00,14,7,1,13694.532, ,,,,,2020,65838.8753839645,80671871.2688464
21482,2020,CA,CDF,ORC,BOND,20136890,2020/12/03 00:00:00+00,2020/12/07 00:00:00+00,14,7,1,6681.0986, ,,,,,2020,52771.3654774732,39200475.3997512
21515,2020,CA,CCO,KRN,STAGECOACH,02033315,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,14,1,1,7750.6372,,,,,,2020,46920.3382001835,47373861.8492288
21560,2020,CA,CDF,SHU,ZOGG,00009978,2020/09/27 00:00:00+00,2020/10/13 00:00:00+00,14,3,1,56338.051,,,,,,2020,190609.169916148,393993433.312704
21569,2020,CA,CDF,AEU,GRANT FIRE,00016543,2020/06/12 00:00:00+00,2020/06/12 00:00:00+00,2,1,1,5062.1978,,,,,,2020,31944.671938623,33560841.7726705
21580,2020,CA,CDF,FKU,MINERAL,00010219,2020/07/13 00:00:00+00,2020/07/26 00:00:00+00,14,2,1,29666.955,,,,,,2020,113981.402275566,184633612.393482
21595,2020,CA,CDF,BEU,CARMEL,00004081,2020/08/18 00:00:00+00,2020/09/06 00:00:00+00,10,7,1,6996.9443,"Brush or brush-and-grass mixture fire
",,,,,2020,55600.12331822,43813350.5993144
21604,2020,CA,CDF,BEU,RIVER,00004024,2020/08/16 00:00:00+00,2020/09/04 00:00:00+00,1,7,1,50213.816,"Brush or brush-and-grass mixture fire
",,,,,2020,188233.15587817,314948093.903798
21616,2020,CA,CDF,SCU,SCU COMPLEX,00005740,2020/08/16 00:00:00+00,2020/09/11 00:00:00+00,1,2,1,396824.47,,SCU COMPLEX,00005740,,,2020,634336.338845715,2545883718.99618
21618,2020,CA,CDF,SCU,CREWS,00004686,2020/07/05 00:00:00+00,2020/07/15 00:00:00+00,8,2,1,5513.1914,,,,,,2020,45170.9785570475,35060829.4026674
21641,2020,CA,USF,ANF,BOBCAT,00003687,2020/09/06 00:00:00+00,2020/10/19 00:00:00+00,14,7,1,115997.98,56C3E0AE-98EF-4433-863D-23A5DFF3D0C2,,,,,2020,433313.073884564,690091830.297993
21665,2020,CA,CDF,LNU,WALBRIDGE,00013407,2020/08/17 00:00:00+00,2020/09/11 00:00:00+00,1,7,1,55208.938,,LNU LIGHTNING COMPLEX,00013407,,,2020,157572.908253265,366514226.490754
21666,2020,CA,CDF,LNU,HENNESSEY,00013337,2020/08/17 00:00:00+00,2020/09/16 00:00:00+00,1,7,1,305351.88,,LNU LIGHTNING COMPLEX,00013407,,,2020,1008834.88444175,2027266568.25791
21667,2020,CA,CDF,LNU,GLASS,00015497,2020/09/27 00:00:00+00,2020/10/20 00:00:00+00,14,7,1,67484.406,J. Baldwin,,,,,2020,272074.173454487,447043238.763344
21678,2020,CA,USF,TNF,LOYALTON,00001600,2020/08/14 00:00:00+00,2020/08/27 00:00:00+00,1,8,1,46720.91,0896AFFE-7839-40D4-BA6D-407F47E4CAA6,,,,,2020,132036.550482008,319860110.443544
21679,2020,CA,USF,PNF,SHEEP,00001299,2020/08/17 00:00:00+00,2020/09/07 00:00:00+00,1,7,1,29541.139,FB31F965-B88D-4C84-8B88-3241F38187CC,,,,,2020,123134.86978424,205912404.478947
21680,2020,CA,USF,LPF,DOLAN,00002428,2020/08/18 00:00:00+00,2020/12/31 00:00:00+00,14,7,1,124527.38,F0A60F88-D1D5-4D86-8105-A3A06456B357,,,,,2020,255261.397082853,772950527.937133
21683,2020,CA,USF,PNF,NORTH COMPLEX,00001308,2020/08/17 00:00:00+00,2020/12/03 00:00:00+00,1,1,1,318797.25,76D31198-0DB2-4ED3-8A95-85F24964E547,NORTH COMPLEX,00001308,,,2020,515161.140670984,2183903306.79724
21684,2020,CA,USF,SQF,CASTLE,00002541,2020/08/19 00:00:00+00,2021/01/04 00:00:00+00,1,7,1,170647.92,4CE00061-B897-49DC-8839-D08E040FF65D,,,,,2020,897716.760534035,1063135639.87627
21688,2020,CA,USF,SNF,CREEK,00001391,2020/09/04 00:00:00+00,2020/12/24 00:00:00+00,14,8,1,379842.41,33CBB9DC-6983-4F47-B821-9C9A6CAC381D,,,,,2020,1030210.52228472,2435747263.73596
21695,2020,CA,USF,KNF,DEVIL,00007084,2020/09/09 00:00:00+00,,14,7,1,8871.9385,C99607D1-B1D4-4FE3-9B28-36C315AC4306,,,,,2020,108856.594837955,64904831.302981
21707,2020,CA,USF,KNF,SLATER,00007035,2020/09/08 00:00:00+00,2020/12/12 00:00:00+00,14,3,1,157429.86,24CDAB5C-7832-4546-BD05-15CC702A0326,,,,,2020,580102.551891633,1152491340.13859
21716,2020,CA,USF,ANF,LAKE,00003273,2020/08/12 00:00:00+00,2020/08/30 00:00:00+00,14,7,1,30999.398,"IRWINID BD5901D9-C99A-45CB-B799-F1CAD5F3EA4B,",,,,,2020,117870.197834675,185934914.634283
21718,2020,CA,USF,CNF,VALLEY,00002833,2020/09/05 00:00:00+00,2020/09/24 00:00:00+00,14,3,1,16389.537,A55E40C0-7692-40CD-95ED-113D7936B7F7,,,,,2020,112779.788219772,94002680.793697
21738,2020,CA,CDF,RRU,SNOW,00119353,2020/09/17 00:00:00+00,2020/09/24 00:00:00+00,10,2,1,6253.4395,IRWINID FFCB89F5-98FB-4C3A-9554-3D1554181A63,,,,,2020,48686.0783056112,36805044.7687905
21743,2020,CA,USF,MNF,AUGUST COMPLEX,00000753,2020/08/16 00:00:00+00,2020/11/11 00:00:00+00,1,3,1,1032699.6,92D7C097-9C52-4824-A261-B0BD6F932EF3,AUGUST COMPLEX,00000753,,,2020,1695542.55514706,7116307899.12388
21745,2020,CA,CDF,LMU,HOG,00003874,2020/07/18 00:00:00+00,2020/08/28 00:00:00+00,14,7,1,9566.3604,795DCBB1-F228-4F7B-9C92-14999DC4B397,,,,,2020,85678.3440425628,66866941.2191277
21748,2020,CA,USF,SRF,RED SALMON COMPLEX,00000656,2020/07/27 00:00:00+00,2020/11/19 00:00:00+00,1,8,1,143836.41,599BC281-404B-4F3E-BE7F-9A8F7B3E9E56,RED SALMON COMPLEX,00000656,,,2020,464942.017886169,1026602327.54156
21755,2020,CA,NPS,YNP,BLUEJAY,00000054,2020/07/25 00:00:00+00,2020/11/19 00:00:00+00,1,7,2,6922.0137,,,,,,2020,55875.1320954337,44992208.0476804
21756,2020,CA,NPS,BNP,CALDWELL,00000479,2020/07/22 00:00:00+00,2020/09/01 00:00:00+00,1,7,1,81224.68, ,,,,,2020,236072.50028657,590731985.530574
21757,2020,CA,NPS,MNP,DOME,00012356,2020/08/15 00:00:00+00,2020/09/12 00:00:00+00,1,8,1,44211.25,Auto-generated by EGP-IRWIN,,,,,2020,94295.1392436571,269171466.52675
21762,2020,CA,NPS,KNP,RATTLESNAKE,00000080,2020/08/16 00:00:00+00,2020/12/28 00:00:00+00,1,7,2,8422.8691,estimate based on satellite heat since 21 NOV,,,,,2020,142312.836653703,52760004.8849285
21768,2020,CA,BLM,CCD,BACCARAT,00030788,2020/10/04 00:00:00+00,2020/10/11 00:00:00+00,14,2,1,10456.402,a3e0e911-3411-46a6-8928-97727db86bb9,,,,,2020,48876.5190937764,71729594.3058901
21775,2020,CA,BLM,CND,MOUNTAIN VIEW,00030860,2020/11/17 00:00:00+00,2020/11/30 00:00:00+00,14,2,1,20374.564,54D7D11C-04DF-418A-9D22-9249FF56A4B8,,,,,2020,71386.5560468165,135042607.606631
21776,2020,CA,BLM,CDD,NADEAU,00011339,2020/07/29 00:00:00+00,2020/08/04 00:00:00+00,14,7,1,9150.4023,de1057cc-f14b-4352-b80d-75c93219e9ed,,,,,2020,81985.6084495531,56715274.2548427
21777,2020,CA,BLM,CCD,NORTH,00030547,2020/08/02 00:00:00+00,2020/08/10 00:00:00+00,10,7,1,6882.2935,cd8d2f6a-ba50-43cf-a62f-894091d839cc,,,,,2020,55841.2880832608,47310873.4871889
21786,2020,CA,USF,HTF,SLINK,00030684,2020/08/29 00:00:00+00,2020/11/13 00:00:00+00,14,7,1,26751.779,4de3802a-339c-4f3d-bd9a-61d55e9d2aa5,,,,,2020,120615.447580124,177137742.947877
21791,2020,CA,BLM,NOD,W-5 COLD SPRINGS,00004727,2020/08/18 00:00:00+00,2020/09/13 00:00:00+00,1,7,1,84817.602,0afebc32-36ee-4fa8-aec5-419c9c6ba51d,,,,,2020,218761.343479062,604907699.577407
21805,2020,CA,USF,BDF,EL DORADO,00129925,2020/09/05 00:00:00+00,2020/11/16 00:00:00+00,14,2,1,22503.707,,,,,,2020,116688.840093464,133129604.246205
21875,2020,CA,CDF,LMU,GOLD,00003917,2020/07/20 00:00:00+00,2020/10/29 00:00:00+00,14,7,1,22652.559, ,,,,,2020,129127.785644767,161406943.239826
41478,2017,CA,CDF,SLU,ALAMO,00007624,2017/07/06 00:00:00+00,2017/07/20 00:00:00+00,10,2,1,28834.172,,,,,,2010,117396.899748312,174173285.520609
41577,2017,CA,CCO,ORC,CANYON II,17110494,2017/10/09 00:00:00+00,2017/10/17 00:00:00+00,5,7,1,9198.0283,,,,,,2010,56494.6997950554,54071908.8064891
41627,2017,CA,CDF,MMU,DETWILER,00014474,2017/07/16 00:00:00+00,2017/08/31 00:00:00+00,9,1,1,81826.273, ,,,,,2010,243283.931816621,528043838.36794
41656,2017,CA,CDF,LNU,NUNS,00010049,2017/10/08 00:00:00+00,2017/10/31 00:00:00+00,14,3,1,55798.191,"Nuns,Partrick, Adobe, Norrbom and Pressley merged into Nuns ",SOUTHERN LNU COMPLEX,00010105,,,2010,305483.095957224,368001231.280928
41660,2017,CA,CDF,LNU,TUBBS,00010045,2017/10/08 00:00:00+00,2017/11/01 00:00:00+00,14,3,1,36701.984,,CENTRAL LNU COMPLEX,00010104,,,2010,167697.410771925,243263474.144081
41661,2017,CA,CDF,LNU,POCKET,00010057,2017/10/08 00:00:00+00,2017/11/01 00:00:00+00,14,3,1,17359.328,,CENTRAL LNU COMPLEX,00010104,,,2010,143951.044920167,115747129.025788
41662,2017,CA,CDF,LNU,ATLAS,00010105,2017/10/08 00:00:00+00,2017/11/01 00:00:00+00,14,3,1,51624.656,,SOUTHERN LNU COMPLEX,00010105,,,2010,217876.451020478,340432031.808802
41704,2017,CA,CCO,LAC,CREEK,00362189,2017/12/05 00:00:00+00,2017/12/05 00:00:00+00,14,7,1,15619.146,,,,,,2010,71990.6476738906,92857036.07548
41705,2017,CA,CCO,LAC,RYE,00362441,2017/12/05 00:00:00+00,2017/12/13 00:00:00+00,14,7,1,6047.7188,,,,,,2010,43088.9726766245,36056780.6262958
41741,2017,CA,BLM,NOD,R-4 PARSNIP,00005180,2017/08/30 00:00:00+00,2017/09/15 00:00:00+00,1,7,1,18601.98,,,,,,2010,94536.6430737667,131169145.052986
41747,2017,CA,BLM,NOD,LONG VALLEY,00030366,2017/07/11 00:00:00+00,2017/07/27 00:00:00+00,10,7,1,83581.414,,,,,,2010,254095.86251428,577257450.156094
41758,2017,CA,BLM,NOD,MUD,00005152,2017/08/29 00:00:00+00,2017/09/11 00:00:00+00,1,7,1,6036.0649,,,,,,2010,30699.5418986304,42209652.6940302
41778,2017,CA,BLM,CND,SLINKARD,00001478,2017/08/29 00:00:00+00,2017/09/21 00:00:00+00,1,7,1,8923.4951,<Null>,,,,,2010,44057.80643394,59312745.786423
41787,2017,CA,CDF,RRU,MANZANITA,00078840,2017/06/26 00:00:00+00,2017/06/30 00:00:00+00,10,3,1,6303.6587, ,,,,,2010,33443.4784674953,37095308.3218401
41795,2017,CA,CDF,FKU,GARZA,00009755,2017/07/09 00:00:00+00,2017/07/25 00:00:00+00,10,2,1,48886.664,blank,,,,,2010,115590.242855739,302589005.418548
41801,2017,CA,CDF,FKU,ELM,00006727,2017/05/18 00:00:00+00,2017/05/23 00:00:00+00,2,1,1,11146.755,,,,,,2010,46144.8660289751,69188487.9482607
41811,2017,CA,USF,SHF,HELENA,00001770,2017/08/30 00:00:00+00,2017/11/14 00:00:00+00,9,3,1,18493.707,Unified Command with Cal-Fire/USFS,,,,,2010,115013.182628482,130623106.2642
41828,2017,CA,USF,SRF,HAYPRESS,00000914,2017/08/10 00:00:00+00,2017/10/16 00:00:00+00,1,8,1,21317.932,,ORLEANS COMPLEX,00000741,,,2010,120160.213658446,153769708.621981
41836,2017,CA,USF,SQF,SCHAEFFER,00001317,2017/06/24 00:00:00+00,2017/11/15 00:00:00+00,1,6,1,15833.212,CONT_DATE  based on FIRESTAT Fire Out Date/Time,,,,,2010,111481.627255311,98333942.94938
41837,2017,CA,USF,SQF,PIER,00002385,2017/08/29 00:00:00+00,2017/08/30 00:00:00+00,7,6,1,36619.426,,,,,,2010,112701.652011003,227595620.364799
41839,2017,CA,USF,SQF,LION,00002753,2017/09/25 00:00:00+00,2017/11/02 00:00:00+00,1,6,1,18913.576,,,,,,2010,76518.4487986939,117993626.579636
41849,2017,CA,USF,SNF,RAILROAD,00001743,2017/08/29 00:00:00+00,2017/11/18 00:00:00+00,9,3,1,12371.148,CONT_DATE  based on FIRESTAT Fire Out Date/Time,,,,,2010,108952.96646182,79569406.9860298
41854,2017,CA,USF,SHF,BUCK,00001850,2017/09/12 00:00:00+00,2017/10/30 00:00:00+00,1,8,1,13357.282,Initial Attack I.C. was Adam Zaharris. Two small *,,,,,2010,68184.3437889423,92794431.9250903
41871,2017,CA,USF,LPF,WHITTIER,00001770,2017/07/08 00:00:00+00,2017/12/21 00:00:00+00,9,1,1,18412.404,CONT_DATE based on Inciweb,,,,,2010,76132.4528731415,110052443.243181
41874,2017,CA,USF,VNC,THOMAS,00003583,2017/12/04 00:00:00+00,2018/01/12 00:00:00+00,9,7,1,281790.88,CONT_DATE based on Inciweb,,,,,2010,540531.887458036,1681105894.58675
41876,2017,CA,USF,KNF,CEDAR,00005915,2017/08/08 00:00:00+00,2017/09/29 00:00:00+00,1,3,1,9129.377,CONT_DATE from Klamath Forest Alliance. Merged with Four Mile fire.,ECLIPSE COMPLEX,00006098,,,2010,108875.126942221,66826182.8585491
41885,2017,CA,USF,KNF,OAK,00006016,2017/08/11 00:00:00+00,2017/09/29 00:00:00+00,1,3,1,91125.328,CONT_DATE from Klamath Forest Alliance.  Merged with Young & Clear fires.,ECLIPSE COMPLEX,00006098,,,2010,470305.295948125,662759651.436543
41886,2017,CA,USF,KNF,WALLOW,00006029,2017/08/11 00:00:00+00,2017/11/13 00:00:00+00,1,3,1,63785.07,CONT_DATE est from other Salmon-August fires,SALMON AUGUST COMPLEX,00006081,,,2010,302323.992355088,459363739.031812
41925,2017,CA,USF,MDF,COVE,00000722,2017/07/25 00:00:00+00,2017/09/06 00:00:00+00,1,3,1,30890.861,<Null>,,,,,2010,85246.3692302943,221557152.639383
41927,2017,CA,USF,MDF,STEELE,00000776,2017/07/26 00:00:00+00,2017/08/13 00:00:00+00,1,3,1,45704.012,<Null>,,,,,2010,210887.602572587,333949956.298886
